crash_id,crash_event,crash_type,number_fatalities
607,20245091,Single,1
608,20242121,Single,1
609,20245054,Single,1
610,20243214,Multiple,1
611,20241118,Single,1
612,20245096,Single,1
613,20243157,Single,1
614,20241190,Multiple,1
615,20241097,Single,1
616,20242265,Multiple,2
617,20241250,Multiple,1
618,20242200,Multiple,1
619,20242178,Multiple,1
620,20242234,Single,1
621,20242048,Single,1
622,20245007,Multiple,1
623,20245126,Single,2
624,20242003,Single,1
625,20243061,Single,1
626,20243252,Single,2
627,20242162,Single,1
628,20244071,Multiple,1
629,20241047,Single,1
630,20241205,Single,1
631,20241024,Multiple,1
632,20242096,Single,1
633,20242240,Multiple,1
634,20243139,Single,1
635,20243075,Single,1
636,20244051,Multiple,1
637,20241070,Single,1
638,20244079,Single,1
639,20243051,Multiple,3
640,20242237,Single,1
641,20243148,Multiple,1
642,20242157,Single,1
643,20244022,Single,1
644,20241142,Single,1
645,20241124,Multiple,1
646,20241010,Multiple,1
647,20241252,Single,1
648,20245009,Single,3
649,20243155,Single,1
650,20243163,Single,1
651,20247027,Multiple,1
652,20247042,Single,1
653,20247020,Single,1
654,20245142,Single,1
655,20243269,Single,1
656,20245121,Multiple,1
657,20245081,Single,1
658,20242166,Single,1
659,20243056,Multiple,1
660,20243049,Single,1
661,20243103,Single,1
662,20242233,Single,1
663,20243014,Single,1
664,20241198,Multiple,1
665,20242249,Single,1
666,20243154,Multiple,3
667,20241100,Single,1
668,20241074,Multiple,1
669,20243263,Multiple,1
670,20242016,Single,1
671,20244017,Single,1
672,20244009,Single,1
673,20242085,Multiple,1
674,20244012,Single,1
675,20243205,Multiple,1
676,20241035,Single,1
677,20241161,Single,1
678,20245023,Multiple,1
679,20241062,Multiple,1
680,20243119,Multiple,1
681,20245059,Single,1
682,20241155,Single,1
683,20243152,Single,1
684,20247030,Single,1
685,20247013,Single,1
686,20241039,Multiple,1
687,20243053,Single,1
688,20242154,Single,2
689,20243215,Multiple,1
690,20243026,Multiple,1
691,20241050,Multiple,1
692,20243271,Multiple,1
693,20243236,Multiple,1
694,20241133,Single,1
695,20248008,Multiple,1
696,20244037,Single,1
697,20242143,Multiple,1
698,20241273,Single,1
699,20242067,Multiple,1
700,20242214,Single,1
701,20245158,Single,1
702,20243238,Single,1
703,20242011,Single,1
704,20241180,Multiple,1
705,20241059,Multiple,1
706,20241021,Multiple,1
707,20242254,Single,1
708,20245138,Single,1
709,20245157,Single,1
710,20241245,Single,1
711,20243256,Multiple,1
712,20243126,Multiple,1
713,20244082,Multiple,2
714,20241108,Single,1
715,20245040,Single,1
716,20242137,Multiple,1
717,20241005,Single,1
718,20241051,Single,1
719,20243128,Single,1
720,20242109,Single,1
721,20241116,Single,1
722,20247023,Single,1
723,20242097,Single,1
724,20245149,Single,1
725,20243226,Multiple,1
726,20246008,Multiple,1
727,20242092,Multiple,1
728,20242125,Multiple,1
729,20245120,Single,1
730,20244077,Multiple,1
731,20242066,Single,1
732,20242049,Single,1
733,20243265,Single,1
734,20243122,Single,1
735,20245067,Single,1
736,20243151,Multiple,1
737,20241283,Multiple,1
738,20242262,Multiple,1
739,20247041,Multiple,1
740,20242100,Multiple,1
741,20247018,Single,1
742,20242211,Multiple,1
743,20245135,Single,1
744,20245084,Single,1
745,20241168,Multiple,2
746,20245127,Single,1
747,20241162,Multiple,2
748,20241073,Single,1
749,20243097,Multiple,3
750,20248009,Multiple,1
751,20242182,Multiple,1
752,20243123,Single,1
753,20242044,Single,1
